image,shape,mesh-resolution,scaling,max-edge-factor,outer-edge-factor,offset-inner-factor,offset-outer-factor,prior-range-prob,prior-range-lower,prior-sigma-prob,prior-sigma-upper,ssim,mse,mean_residual,sigma
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.2,1.0,0.1,1.0,0.3083,8745519.440525016,-12.687881901467435,1168.2363161471603
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.2,1.0,0.1,2.0,0.3907,4570211.433516263,-1.6417899763031791,397.400418668372
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.2,1.0,0.1,3.0,0.4035,4201083.075654115,-1.4218740317377865,370.67030303259713
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.2,1.0,0.2,3.0,0.4003,4436279.374667775,-1.2363626870619708,370.94864285036743
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.2,2.0,0.1,1.0,0.3787,4759762.134979041,-2.5428115994102765,447.146318086243
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.2,2.0,0.1,2.0,0.4331,3442762.561947121,-1.1595622713443954,329.7001806610047
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.2,2.0,0.1,3.0,0.4157,3904373.9548911788,-1.2115856592593677,348.0056416303082
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.2,2.0,0.2,1.0,0.9716,248541.1100566722,0.034656026899120965,205.68051497314946
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.2,2.0,0.2,2.0,0.4398,3757927.154392013,-0.8044923887440026,337.1077668568997
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.2,2.0,0.2,3.0,0.4376,3534301.0945164403,-0.7027283053481995,299.157512682176
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.2,5.0,0.1,1.0,0.5007,2275253.327454038,-0.9608181878762371,289.2078770028463
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.2,5.0,0.1,2.0,0.4869,2600763.2286547087,-0.33217068204524763,242.40125952295395
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.2,5.0,0.1,3.0,0.5735,1605341.5221103125,-0.027121565034399928,198.70972360670083
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.2,5.0,0.2,2.0,0.4293,3669586.084496204,-0.868048580993245,315.2591974122418
combined_cube.fits[0],none,20,log,8,1.2,0.1,2.0,0.2,5.0,0.2,3.0,0.7167,787153.7901414989,0.48451502585958917,160.5213510393035
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.1,1.0,0.1,1.0,0.3377,6564563.712190008,-5.111961092250719,621.4165292409878
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.1,1.0,0.1,2.0,0.3446,6204908.268372696,-4.11119143442037,561.2098825160925
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.1,1.0,0.1,3.0,0.4339,3564535.6860561585,-0.8185232132186332,307.93980273036163
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.1,1.0,0.2,2.0,0.3549,5728141.157588267,-3.2212135599396894,508.96994112893844
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.1,1.0,0.2,3.0,0.3999,4410237.406246701,-1.3004690711365945,373.7172594565297
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.1,2.0,0.1,1.0,0.3387,6457766.955828236,-5.83568721574624,663.6582632466511
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.1,2.0,0.1,2.0,0.4517,3146650.7514499733,-0.765634823231548,292.28089345982426
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.1,2.0,0.2,1.0,0.3626,5315065.714440074,-3.4428248317251815,505.3803364543301
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.1,2.0,0.2,2.0,0.4521,3198346.159632991,-0.6118198701757694,280.8165519527133
combined_cube.fits[0],none,20,log,8,1.2,0.1,3.0,0.1,2.0,0.2,3.0,0.4369,3528278.7002182277,-0.7340873980578213,300.4940624995639
